Time(s),CH1V,CH4V
-4.640000e-06,-6.666666e-04,-1.240000e-02
-4.620000e-06,-5.533333e-02,-2.146667e-02
-4.600000e-06,-8.866666e-02,-3.053333e-02
-4.580000e-06,-8.333333e-02,-2.040000e-02
-4.560000e-06,-6.666666e-04,-8.000000e-03
-4.540000e-06,-1.200000e-02,3.333333e-03
-4.520000e-06,-3.400000e-02,1.066667e-03
-4.500000e-06,-3.400000e-02,-9.066666e-03
-4.480000e-06,9.999999e-03,7.866667e-03
-4.460000e-06,-1.200000e-02,-1.920000e-02
-4.440000e-06,-5.533333e-02,-3.506667e-02
-4.420000e-06,-6.666666e-04,-1.813333e-02
-4.400000e-06,7.599999e-02,-3.466667e-03
-4.380000e-06,-6.000000e-03,-6.800000e-03
-4.360000e-06,-7.733332e-02,7.866667e-03
-4.340000e-06,-3.400000e-02,-3.466667e-03
-4.320000e-06,3.200000e-02,-1.026667e-02
-4.300000e-06,-6.000000e-03,-1.813333e-02
-4.280000e-06,-1.106667e-01,3.333333e-03
-4.260000e-06,-3.400000e-02,-1.026667e-02
-4.240000e-06,9.999999e-03,-1.920000e-02
-4.220000e-06,-7.199999e-02,-1.813333e-02
-4.200000e-06,9.999999e-03,-1.240000e-02
-4.180000e-06,-6.666666e-02,-1.200000e-03
-4.160000e-06,-6.666666e-02,-2.826667e-02
-4.140000e-06,-7.199999e-02,-1.026667e-02
-4.120000e-06,-1.433333e-01,-3.053333e-02
-4.100000e-06,-6.133333e-02,-2.146667e-02
-4.080000e-06,-2.266666e-02,-1.693333e-02
-4.060000e-06,-1.200000e-02,1.066667e-03
-4.040000e-06,-6.666666e-04,1.066667e-03
-4.020000e-06,2.666666e-02,-1.586667e-02
-4.000000e-06,3.200000e-02,-3.466667e-03
-3.980000e-06,-1.213333e-01,-2.146667e-02
-3.960000e-06,-5.533333e-02,-1.466667e-02
-3.940000e-06,-3.400000e-02,-9.066666e-03
-3.920000e-06,-6.666666e-04,-1.026667e-02
-3.900000e-06,-6.000000e-03,-1.693333e-02
-3.880000e-06,-8.866666e-02,-1.026667e-02
-3.860000e-06,-6.133333e-02,-1.360000e-02
-3.840000e-06,-6.666666e-04,-1.026667e-02
-3.820000e-06,-6.133333e-02,-1.586667e-02
-3.800000e-06,-1.213333e-01,-8.000000e-03
-3.780000e-06,-6.000000e-03,-6.800000e-03
-3.760000e-06,-6.666666e-04,3.333333e-03
-3.740000e-06,-2.266666e-02,-1.586667e-02
-3.720000e-06,3.200000e-02,-1.693333e-02
-3.700000e-06,-4.999999e-02,-1.360000e-02
-3.680000e-06,-5.533333e-02,-2.146667e-02
-3.660000e-06,-9.933332e-02,-1.240000e-02
-3.640000e-06,-7.733332e-02,-2.826667e-02
-3.620000e-06,-6.666666e-02,-3.466667e-03
-3.600000e-06,-2.266666e-02,-1.693333e-02
-3.580000e-06,-1.200000e-02,-4.533333e-03
-3.560000e-06,-3.400000e-02,-1.693333e-02
-3.540000e-06,-6.666666e-04,-1.133333e-02
-3.520000e-06,-3.400000e-02,5.600000e-03
-3.500000e-06,-4.999999e-02,-1.693333e-02
-3.480000e-06,-1.433333e-01,-1.920000e-02
-3.460000e-06,-2.800000e-02,-1.360000e-02
-3.440000e-06,-6.666666e-04,-1.240000e-02
-3.420000e-06,-6.000000e-03,-2.146667e-02
-3.400000e-06,-3.400000e-02,-1.466667e-02
-3.380000e-06,-1.733333e-02,-1.813333e-02
-3.360000e-06,-6.666666e-04,1.466667e-02
-3.340000e-06,-2.800000e-02,-4.533333e-03
-3.320000e-06,-1.106667e-01,-5.733334e-03
-3.300000e-06,-7.733332e-02,-1.693333e-02
-3.280000e-06,2.133333e-02,7.866667e-03
-3.260000e-06,-1.733333e-02,-4.533333e-03
-3.240000e-06,-1.200000e-02,-2.826667e-02
-3.220000e-06,2.666666e-02,-1.240000e-02
-3.200000e-06,-1.200000e-02,-1.693333e-02
-3.180000e-06,-3.400000e-02,-2.600000e-02
-3.160000e-06,-6.666666e-02,-5.733334e-03
-3.140000e-06,-8.866666e-02,-1.360000e-02
-3.120000e-06,-2.266666e-02,-1.240000e-02
-3.100000e-06,-5.533333e-02,-2.266667e-03
-3.080000e-06,-8.866666e-02,-1.466667e-02
-3.060000e-06,-4.466666e-02,3.333333e-03
-3.040000e-06,9.999999e-03,-3.466667e-03
-3.020000e-06,-7.733332e-02,-2.493333e-02
-3.000000e-06,-8.866666e-02,-1.693333e-02
-2.980000e-06,-7.199999e-02,-1.586667e-02
-2.960000e-06,9.999999e-03,-1.466667e-02
