Time(s),CH1V
-3.952000e-02,6.586666e-02
-3.936000e-02,6.360000e-02
-3.920000e-02,7.040000e-02
-3.904000e-02,5.013333e-02
-3.888000e-02,9.733333e-02
-3.872000e-02,5.466667e-02
-3.856000e-02,5.906667e-02
-3.840000e-02,5.680000e-02
-3.824000e-02,5.240000e-02
-3.808000e-02,6.813333e-02
-3.792000e-02,3.213333e-02
-3.776000e-02,5.680000e-02
-3.760000e-02,6.133333e-02
-3.744000e-02,5.240000e-02
-3.728000e-02,5.680000e-02
-3.712000e-02,6.133333e-02
-3.696000e-02,4.786667e-02
-3.680000e-02,4.560000e-02
-3.664000e-02,5.466667e-02
-3.648000e-02,5.240000e-02
-3.632000e-02,2.986667e-02
-3.616000e-02,6.360000e-02
-3.600000e-02,3.440000e-02
-3.584000e-02,6.133333e-02
-3.568000e-02,9.520000e-02
-3.552000e-02,6.360000e-02
-3.536000e-02,5.680000e-02
-3.520000e-02,6.813333e-02
-3.504000e-02,7.706667e-02
-3.488000e-02,7.040000e-02
-3.472000e-02,7.933334e-02
-3.456000e-02,5.240000e-02
-3.440000e-02,8.386667e-02
-3.424000e-02,5.240000e-02
-3.408000e-02,5.013333e-02
-3.392000e-02,7.266667e-02
-3.376000e-02,3.440000e-02
-3.360000e-02,6.133333e-02
-3.344000e-02,9.520000e-02
-3.328000e-02,5.240000e-02
-3.312000e-02,5.240000e-02
-3.296000e-02,8.613333e-02
-3.280000e-02,7.040000e-02
-3.264000e-02,6.133333e-02
-3.248000e-02,5.013333e-02
-3.232000e-02,5.680000e-02
-3.216000e-02,4.786667e-02
-3.200000e-02,4.106667e-02
-3.184000e-02,2.760000e-02
-3.168000e-02,4.786667e-02
-3.152000e-02,4.106667e-02
-3.136000e-02,6.586666e-02
-3.120000e-02,5.680000e-02
-3.104000e-02,4.786667e-02
-3.088000e-02,5.013333e-02
-3.072000e-02,7.933334e-02
-3.056000e-02,4.560000e-02
-3.040000e-02,5.906667e-02
-3.024000e-02,6.813333e-02
-3.008000e-02,4.106667e-02
-2.992000e-02,4.333333e-02
-2.976000e-02,5.240000e-02
-2.960000e-02,8.386667e-02
-2.944000e-02,3.213333e-02
-2.928000e-02,5.013333e-02
-2.912000e-02,5.013333e-02
-2.896000e-02,5.680000e-02
-2.880000e-02,4.560000e-02
-2.864000e-02,6.360000e-02
-2.848000e-02,3.653333e-02
-2.832000e-02,6.360000e-02
-2.816000e-02,7.040000e-02
-2.800000e-02,6.133333e-02
-2.784000e-02,6.586666e-02
-2.768000e-02,7.933334e-02
-2.752000e-02,7.933334e-02
-2.736000e-02,4.560000e-02
-2.720000e-02,5.466667e-02
-2.704000e-02,7.266667e-02
-2.688000e-02,4.786667e-02
-2.672000e-02,5.680000e-02
-2.656000e-02,6.586666e-02
-2.640000e-02,7.266667e-02
-2.624000e-02,4.560000e-02
-2.608000e-02,7.706667e-02
-2.592000e-02,6.133333e-02
-2.576000e-02,4.560000e-02
-2.560000e-02,2.760000e-02
-2.544000e-02,5.240000e-02
-2.528000e-02,5.466667e-02
-2.512000e-02,4.106667e-02
-2.496000e-02,5.906667e-02
-2.480000e-02,7.040000e-02
-2.464000e-02,8.160000e-02
-2.448000e-02,6.360000e-02
