Time(s),CH1V,CH4V
-2.260000e-02,3.426667e-02,5.600000e-03
-2.240000e-02,2.306667e-02,-7.466667e-03
-2.220000e-02,4.106667e-02,9.866667e-03
-2.200000e-02,4.106667e-02,-1.173333e-02
-2.180000e-02,5.680000e-02,-2.933333e-03
-2.160000e-02,4.773333e-02,-7.466667e-03
-2.140000e-02,2.533333e-02,5.600000e-03
-2.120000e-02,4.106667e-02,-2.933333e-03
-2.100000e-02,2.973333e-02,5.600000e-03
-2.080000e-02,4.333333e-02,-7.466667e-03
-2.060000e-02,5.226667e-02,1.413333e-02
-2.040000e-02,5.906667e-02,-1.600000e-02
-2.020000e-02,3.653333e-02,-1.600000e-02
-2.000000e-02,4.106667e-02,9.866667e-03
-1.980000e-02,5.226667e-02,-1.600000e-02
-1.960000e-02,4.560000e-02,1.333333e-03
-1.940000e-02,4.106667e-02,-7.466667e-03
-1.920000e-02,3.200000e-02,1.333333e-03
-1.900000e-02,7.933334e-02,2.293333e-02
-1.880000e-02,3.426667e-02,9.866667e-03
-1.860000e-02,2.973333e-02,2.293333e-02
-1.840000e-02,5.680000e-02,-2.933333e-03
-1.820000e-02,4.773333e-02,5.600000e-03
-1.800000e-02,5.453333e-02,2.293333e-02
-1.780000e-02,6.360000e-02,-7.466667e-03
-1.760000e-02,4.560000e-02,-2.906667e-02
-1.740000e-02,2.746667e-02,1.333333e-03
-1.720000e-02,3.880000e-02,-7.466667e-03
-1.700000e-02,4.560000e-02,5.600000e-03
-1.680000e-02,6.360000e-02,-1.600000e-02
-1.660000e-02,4.560000e-02,-2.933333e-03
-1.640000e-02,4.106667e-02,-2.933333e-03
-1.620000e-02,4.560000e-02,-2.933333e-03
-1.600000e-02,9.733333e-02,-2.933333e-03
-1.580000e-02,4.106667e-02,1.413333e-02
-1.560000e-02,4.560000e-02,-1.600000e-02
-1.540000e-02,5.906667e-02,-1.600000e-02
-1.520000e-02,4.106667e-02,1.333333e-03
-1.500000e-02,2.973333e-02,-2.026667e-02
-1.480000e-02,4.560000e-02,-2.933333e-03
-1.460000e-02,3.653333e-02,-2.480000e-02
-1.440000e-02,3.653333e-02,-2.933333e-03
