Time(s),CH1V,CH4V
-3.140000e-02,4.800000e-02,-4.640000e-02
-3.130000e-02,-3.200000e-03,-4.640000e-02
-3.120000e-02,6.506667e-02,-2.026667e-02
-3.110000e-02,3.520000e-02,-3.760000e-02
-3.100000e-02,4.800000e-02,-5.066667e-02
-3.090000e-02,6.080000e-02,-3.333334e-02
-3.080000e-02,1.813333e-02,-4.186667e-02
-3.070000e-02,4.373333e-02,-4.186667e-02
-3.060000e-02,2.240000e-02,-4.186667e-02
-3.050000e-02,3.093333e-02,-1.600000e-02
-3.040000e-02,2.666667e-02,-4.640000e-02
-3.030000e-02,5.653333e-02,-2.026667e-02
-3.020000e-02,1.813333e-02,-4.186667e-02
-3.010000e-02,3.520000e-02,-1.600000e-02
-3.000000e-02,3.946667e-02,-2.480000e-02
-2.990000e-02,1.386667e-02,-2.906667e-02
-2.980000e-02,3.946667e-02,-3.333334e-02
-2.970000e-02,4.800000e-02,-3.333334e-02
-2.960000e-02,4.373333e-02,-2.906667e-02
-2.950000e-02,3.520000e-02,-3.760000e-02
-2.940000e-02,2.240000e-02,-1.600000e-02
-2.930000e-02,5.333333e-03,-1.600000e-02
-2.920000e-02,4.800000e-02,-4.186667e-02
-2.910000e-02,4.373333e-02,-2.480000e-02
-2.900000e-02,3.093333e-02,-2.906667e-02
-2.890000e-02,3.946667e-02,-4.186667e-02
-2.880000e-02,1.386667e-02,-2.906667e-02
-2.870000e-02,3.520000e-02,-4.640000e-02
-2.860000e-02,2.666667e-02,-3.760000e-02
-2.850000e-02,6.933334e-02,-4.640000e-02
-2.840000e-02,4.800000e-02,-4.186667e-02
-2.830000e-02,3.520000e-02,-5.920000e-02
-2.820000e-02,4.373333e-02,-1.600000e-02
-2.810000e-02,2.666667e-02,-2.026667e-02
-2.800000e-02,1.813333e-02,-3.333334e-02
-2.790000e-02,2.240000e-02,-2.480000e-02
-2.780000e-02,3.520000e-02,-2.480000e-02
-2.770000e-02,1.386667e-02,-3.760000e-02
-2.760000e-02,1.066667e-03,-2.026667e-02
-2.750000e-02,1.386667e-02,-7.466667e-03
-2.740000e-02,5.653333e-02,-2.906667e-02
-2.730000e-02,2.666667e-02,-2.906667e-02
-2.720000e-02,4.373333e-02,-1.600000e-02
-2.710000e-02,2.666667e-02,-5.066667e-02
-2.700000e-02,3.520000e-02,-2.026667e-02
-2.690000e-02,5.333333e-03,-2.906667e-02
-2.680000e-02,1.813333e-02,-4.186667e-02
-2.670000e-02,2.666667e-02,-3.760000e-02
-2.660000e-02,2.666667e-02,-3.760000e-02
-2.650000e-02,5.653333e-02,-2.906667e-02
-2.640000e-02,3.093333e-02,-2.480000e-02
-2.630000e-02,6.506667e-02,-4.640000e-02
-2.620000e-02,4.800000e-02,-2.026667e-02
-2.610000e-02,3.093333e-02,-3.333334e-02
-2.600000e-02,2.666667e-02,-2.480000e-02
-2.590000e-02,1.813333e-02,-2.026667e-02
-2.580000e-02,6.080000e-02,-3.333334e-02
-2.570000e-02,6.080000e-02,-4.186667e-02
-2.560000e-02,2.240000e-02,-2.906667e-02
-2.550000e-02,3.093333e-02,-2.906667e-02
-2.540000e-02,1.813333e-02,-4.186667e-02
-2.530000e-02,2.240000e-02,-3.333334e-02
-2.520000e-02,3.093333e-02,-2.906667e-02
-2.510000e-02,3.520000e-02,-2.026667e-02
-2.500000e-02,4.800000e-02,-5.066667e-02
-2.490000e-02,4.800000e-02,-3.760000e-02
-2.480000e-02,4.800000e-02,-7.226667e-02
-2.470000e-02,4.800000e-02,-4.186667e-02
-2.460000e-02,3.093333e-02,-4.186667e-02
-2.450000e-02,5.333333e-03,-2.026667e-02
-2.440000e-02,5.653333e-02,-3.760000e-02
-2.430000e-02,3.093333e-02,-4.186667e-02
-2.420000e-02,9.600000e-03,-3.333334e-02
-2.410000e-02,3.520000e-02,-2.906667e-02
-2.400000e-02,2.666667e-02,-2.906667e-02
-2.390000e-02,3.946667e-02,-4.186667e-02
-2.380000e-02,4.373333e-02,-4.186667e-02
-2.370000e-02,1.813333e-02,-5.066667e-02
-2.360000e-02,3.946667e-02,-2.480000e-02
-2.350000e-02,6.506667e-02,-1.600000e-02
-2.340000e-02,1.813333e-02,-3.760000e-02
-2.330000e-02,3.946667e-02,-3.333334e-02
-2.320000e-02,2.666667e-02,-3.333334e-02
-2.310000e-02,4.800000e-02,-4.640000e-02
-2.300000e-02,3.520000e-02,-4.186667e-02
-2.290000e-02,2.666667e-02,-2.026667e-02
-2.280000e-02,6.933334e-02,-4.186667e-02
-2.270000e-02,5.653333e-02,-4.186667e-02
-2.260000e-02,8.213334e-02,-1.600000e-02
-2.250000e-02,5.653333e-02,-3.333334e-02
-2.240000e-02,3.946667e-02,-2.480000e-02
-2.230000e-02,7.786667e-02,-4.640000e-02
-2.220000e-02,2.240000e-02,-3.760000e-02
-2.210000e-02,1.813333e-02,-2.480000e-02
-2.200000e-02,5.333333e-03,-3.760000e-02
-2.190000e-02,3.520000e-02,-2.026667e-02
-2.180000e-02,3.520000e-02,-2.480000e-02
-2.170000e-02,5.226667e-02,-2.480000e-02
-2.160000e-02,6.933334e-02,-2.906667e-02
-2.150000e-02,5.226667e-02,-3.333334e-02
-2.140000e-02,5.226667e-02,-2.026667e-02
-2.130000e-02,3.520000e-02,-3.760000e-02
-2.120000e-02,5.333333e-03,-3.333334e-02
-2.110000e-02,7.360000e-02,-2.026667e-02
-2.100000e-02,4.373333e-02,-4.640000e-02
-2.090000e-02,4.800000e-02,-2.906667e-02
-2.080000e-02,1.386667e-02,-3.333334e-02
-2.070000e-02,6.080000e-02,-2.480000e-02
-2.060000e-02,2.666667e-02,-2.906667e-02
-2.050000e-02,2.666667e-02,-2.026667e-02
-2.040000e-02,2.240000e-02,-4.640000e-02
-2.030000e-02,3.520000e-02,-2.933333e-03
-2.020000e-02,3.946667e-02,-4.186667e-02
-2.010000e-02,1.386667e-02,-3.333334e-02
-2.000000e-02,5.653333e-02,-4.186667e-02
-1.990000e-02,1.813333e-02,-2.906667e-02
-1.980000e-02,4.373333e-02,-3.760000e-02
-1.970000e-02,9.600000e-03,-2.906667e-02
-1.960000e-02,3.520000e-02,-1.173333e-02
-1.950000e-02,5.653333e-02,-2.906667e-02
-1.940000e-02,4.373333e-02,-3.760000e-02
-1.930000e-02,2.666667e-02,-3.333334e-02
-1.920000e-02,3.093333e-02,-2.906667e-02
-1.910000e-02,2.666667e-02,-4.186667e-02
-1.900000e-02,2.240000e-02,-5.066667e-02
-1.890000e-02,2.666667e-02,-2.906667e-02
-1.880000e-02,3.520000e-02,-2.026667e-02
-1.870000e-02,3.520000e-02,-3.760000e-02
-1.860000e-02,1.813333e-02,-1.600000e-02
-1.850000e-02,3.520000e-02,-5.066667e-02
-1.840000e-02,3.520000e-02,-5.066667e-02
-1.830000e-02,9.600000e-03,-2.906667e-02
-1.820000e-02,2.666667e-02,-4.186667e-02
-1.810000e-02,2.666667e-02,-5.066667e-02
-1.800000e-02,2.666667e-02,-5.066667e-02
-1.790000e-02,4.373333e-02,-2.906667e-02
-1.780000e-02,3.946667e-02,-3.760000e-02
-1.770000e-02,3.093333e-02,-3.760000e-02
-1.760000e-02,1.813333e-02,-2.480000e-02
-1.750000e-02,2.666667e-02,-3.760000e-02
-1.740000e-02,5.653333e-02,-2.026667e-02
-1.730000e-02,3.946667e-02,-2.906667e-02
-1.720000e-02,2.666667e-02,-3.333334e-02
-1.710000e-02,2.666667e-02,-2.906667e-02
-1.700000e-02,1.386667e-02,-3.760000e-02
-1.690000e-02,4.373333e-02,-4.186667e-02
-1.680000e-02,6.080000e-02,-3.333334e-02
-1.670000e-02,3.520000e-02,-5.920000e-02
-1.660000e-02,3.520000e-02,-4.186667e-02
-1.650000e-02,1.386667e-02,-4.186667e-02
-1.640000e-02,1.813333e-02,-2.026667e-02
-1.630000e-02,2.666667e-02,-5.066667e-02
-1.620000e-02,3.946667e-02,-3.333334e-02
-1.610000e-02,1.386667e-02,-5.920000e-02
-1.600000e-02,3.093333e-02,-3.333334e-02
-1.590000e-02,3.946667e-02,-4.186667e-02
-1.580000e-02,3.520000e-02,-3.333334e-02
-1.570000e-02,3.520000e-02,-7.226667e-02
-1.560000e-02,5.226667e-02,-2.026667e-02
-1.550000e-02,1.813333e-02,-3.760000e-02
-1.540000e-02,3.946667e-02,-2.026667e-02
-1.530000e-02,9.600000e-03,-2.480000e-02
-1.520000e-02,2.666667e-02,-4.186667e-02
-1.510000e-02,3.946667e-02,-2.906667e-02
-1.500000e-02,3.520000e-02,-4.640000e-02
-1.490000e-02,3.093333e-02,-2.480000e-02
-1.480000e-02,5.226667e-02,-3.760000e-02
-1.470000e-02,5.226667e-02,-2.906667e-02
-1.460000e-02,3.946667e-02,-2.480000e-02
-1.450000e-02,6.080000e-02,-2.906667e-02
-1.440000e-02,3.946667e-02,-4.640000e-02
-1.430000e-02,5.653333e-02,-4.186667e-02
-1.420000e-02,1.386667e-02,-2.906667e-02
-1.410000e-02,3.093333e-02,-3.333334e-02
